country,CountriesWithoutMcDonalds
NG,x
BD,x
RU,x
ET,x
CD,x
IR,x
TZ,x
KE,x
MM,x
UG,x
SD,x
IQ,x
DZ,x
AF,x
AO,x
UZ,x
YE,x
MZ,x
GH,x
NP,x
MG,x
CI,x
CM,x
NE,x
KP,x
SY,x
ML,x
BF,x
MW,x
ZM,x
KZ,x
TD,x
SO,x
SN,x
KH,x
ZW,x
GN,x
RW,x
BJ,x
BI,x
BO,x
HT,x
SS,x
PG,x
TJ,x
TG,x
SL,x
LA,x
LY,x
KG,x
TM,x
CF,x
PS,x
MR,x
ER,x
MN,x
BA,x
GM,x
AL,x
JM,x
AM,x
BW,x
NA,x
GA,x
LS,x
GW,x
GQ,x
TL,x
DJ,x
KM,x
BT,x
SB,x
ME,x
CV,x
MV,x
BZ,x
IS,x
VU,x
BB,x
ST,x
LC,x
KI,x
GD,x
FM,x
TO,x
SC,x
DM,x
BM,x
GL,x
KN,x
MH,x
PW,x
NR,x
TV,x
FK,x
VA,x
