country,friendliestCountries_ranking,LeastRacistCountriesRacialEqualityRankings2023,HomophobicRank2017
IN,34,66,84
CN,43,57,80
US,36,73,135
ID,21,37,72
NG,33,,6
BR,14,20,139
RU,52,80,68
MX,3,27,134
JP,44,40,104
PH,11,61,114
VN,9,65,94
TR,29,55,58
DE,47,18,132
TH,20,39,109
GB,56,16,149
FR,55,15,151
ZA,57,23,137
IT,41,17,121
KE,27,32,27
MM,18,82,41
CO,8,54,141
KR,42,60,75
UG,16,,16
ES,17,21,154
AR,26,22,142
PL,54,25,108
CA,10,2,148
UA,45,49,97
SA,59,85,3
PE,12,43,95
MY,22,48,57
AU,37,12,138
TW,2,,
KZ,28,68,73
CL,49,51,127
RO,19,50,124
EC,13,56,131
NL,35,3,157
KH,4,58,74
BE,50,8,152
SE,51,4,158
CZ,62,63,128
GR,32,24,130
PT,1,13,146
HU,58,34,133
IL,24,83,125
AT,64,11,136
CH,63,6,143
HK,38,,101
SG,40,19,82
DK,60,7,156
FI,61,9,153
NO,48,5,155
NZ,31,1,147
CR,6,28,123
IE,30,10,140
OM,7,35,62
PA,46,52,105
KW,65,,43
QA,53,86,5
BH,5,70,93
CY,23,,122
LU,39,14,
MT,25,,145
BD,,75,89
EG,,45,29
IR,,84,26
DZ,,59,31
MA,,38,13
UZ,,71,49
GH,,33,24
CM,,30,25
LK,,78,70
ZM,,,35
GT,,76,110
TN,,31,10
DO,,36,102
JO,,44,42
AZ,,64,50
AE,,81,59
BY,,77,78
RS,,87,117
PY,,,81
BG,,29,100
SK,,46,129
LB,,72,56
HR,,62,126
UY,,71,150
LT,,41,120
SI,,26,144
LV,,53,106
EE,,42,119
PK,,,69
ET,,,32
CD,,,65
TZ,,,34
SD,,,1
IQ,,,8
AF,,,2
AO,,,20
YE,,,21
MZ,,,112
NP,,,76
MG,,,37
CI,,,45
VE,,,99
NE,,,30
SY,,,
ML,,,64
BF,,,54
MW,,,15
TD,,,11
SO,,,
SN,,,12
ZW,,,23
GN,,,7
RW,,,52
BJ,,,46
BI,,,9
BO,,,116
HT,,,53
SS,,,4
CU,,,
HN,,,111
PG,,,39
TJ,,,66
TG,,,19
SL,,,18
LA,,,60
NI,,,115
LY,,,28
KG,,,71
TM,,,44
SV,,,113
CF,,,40
LR,,,33
PS,,,
MR,,,14
ER,,,17
GE,,,85
MN,,,90
MD,,,88
PR,,,
BA,,,98
GM,,,22
AL,,,103
JM,,,91
AM,,,51
BW,,,83
,,,79
GA,,,47
LS,,,61
GW,,,38
MK,,,96
GQ,,,
TL,,,87
MU,,,92
SZ,,,48
DJ,,,77
FJ,,,
KM,,,36
GY,,,63
BT,,,
SB,,,
SR,,,67
ME,,,
MV,,,
BN,,,
BZ,,,
BS,,,107
IS,,,
BB,,,86
WS,,,
CW,,,
LC,,,
GU,,,
KI,,,
GD,,,
FM,,,
TO,,,
SC,,,
AW,,,
AD,,,
DM,,,
KY,,,
MP,,,
KN,,,
SX,,,
MH,,,
LI,,,
MC,,,
SM,,,
PW,,,
CK,,,
NR,,,
TV,,,
